"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","time.d","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","xCH4.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"L1","21112018",8.91666666666424,"1030",660,0,183.7839,183.7215,52.51,46.52,0.469756639402201,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.530243360597799,79.1112,30,1673.25,1013.25,0.605558045719408,1013.25,0.636763550667714,30,0.475962039837314,45.333840885853,24.0379681401206,592.197280455786,297.13359806612,21.8257207875722,11.5729435378715
"L1","23112018",10.878472222219,"0935",418,0,183.7236,183.6853,53,45.36,0.461163074420496,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.538836925579504,79.1112,30,1431.25,1013.25,0.707947598253275,1013.25,0.605558045719408,30,0.530243360597799,28.2188777445975,15.2053733272028,620.416158200384,312.338971393323,14.3841359122904,7.75070357209629
"L1","25112018",13.125,"1530",333,0,183.6839,183.6545,54.12,45.02,0.454105305628404,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.545894694371596,79.1112,30,1346.25,1013.25,0.752646239554318,1013.25,0.707947598253275,30,0.538836925579504,22.5470467817709,12.3083132119169,642.963204982155,324.64728460524,10.0363979492272,5.47881639108512
"L1","28112018",15.8541666666642,"0900",302,0,183.6527,183.6271,54.345174,43.887872,0.446772993275603,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.553227006724397,79.1112,30,1315.25,1013.25,0.770385858201863,1013.25,0.752646239554318,30,0.545894694371596,20.5005385765132,11.3414515929224,663.463743558668,335.988736198162,7.51164772269184,4.15564638519294
"L1","01122018",18.909722222219,"1020",276,0,183.6252,183.604,55.41,42.84,0.436030534351145,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.563969465648855,79.1112,30,1289.25,1013.25,0.785922047702152,1013.25,0.770385858201863,30,0.553227006724397,18.724937932643,10.5602932401806,682.188681491311,346.549029438343,6.12816150522862,3.45609596951367
"L1","05122018",22.8611111111095,"0910",282,0,183.5991,183.5758,56.67,40.93,0.419364754098361,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.580635245901639,79.1112,30,1295.25,1013.25,0.782281412854661,1013.25,0.785922047702152,30,0.563969465648855,19.1935078932193,11.1444271752945,701.38218938453,357.693456613638,4.85740797297642,2.82038227283375
"L1","09122018",27.1458333333285,"1600",312,0,183.5747,183.549,58.43,40.24,0.407824059997973,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.592175940002027,79.1112,30,1325.25,1013.25,0.7645727221279,1013.25,0.782281412854661,30,0.580635245901639,21.292698984312,12.6090240362152,722.674888368842,370.302480649853,4.96944676457201,2.94278680910046
"L2","12112018",0,"1230",0,0,NA,183.88815,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,79.134,30,1013.25,1013.25,1,1013.25,1,20,0,-3.72236087435653,0,-3.72236087435653,0,NA,NA
"L2","13112018",0.840277777773736,"0840",390,0,183.8883,183.8521,12.83,22.45,0.636337868480726,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.363662131519274,79.134,30,1403.25,1013.25,0.722073757349011,1013.25,1,30,0,27.4391989821354,9.97859758902484,23.7168381077788,9.97859758902484,32.6549144911363,11.8753558084263
"L2","14112018",1.84375,"0845",618,0,183.8512,183.7965,30.32,28.09,0.480910802944701,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.519089197055299,79.134,30,1631.25,1013.25,0.621149425287356,1013.25,0.722073757349011,30,0.363662131519274,42.6475998674523,22.1379083715315,66.3644379752311,32.1165059605563,42.5000303177379,22.0613066124604
